CERN - 2018-02-22 11:04:06	subject Field	concept definition	concept source	Concept create by user	Concept create date	Concept modified by user	Concept modified date	Lang	Term Status	Term Form	Term definition	Term create by user	Term create date	Term modified by user	Term modified date
_372	Accelerator technology			Odile Martin	2008-01-01	Odile Martin	2009-01-26	FR	p	source thermoionique d'électrons		Odile Martin	2008-01-01	Odile Martin	2008-01-01
_373	Accelerator technology			Odile Martin	2008-01-01	Odile Martin	2009-01-26	EN-GB	p	high-voltage deck	Insulated enclosure which is at high voltage CERN Expert AB-RF-LR.	Odile Martin	2008-01-01	Odile Martin	2009-01-26
_373	Accelerator technology			Odile Martin	2008-01-01	Odile Martin	2009-01-26	EN-GB	p	high-voltage platform		Odile Martin	2008-01-01	Odile Martin	2009-01-26
_373	Accelerator technology			Odile Martin	2008-01-01	Odile Martin	2009-01-26	FR	p	plateform haute tension		Odile Martin	2008-01-01	Odile Martin	2008-01-01
_374	Accelerator technology			Odile Martin	2008-01-01	Odile Martin	2009-01-26	EN-GB	p	electron gun		Odile Martin	2008-01-01	Odile Martin	2008-01-01
_374	Accelerator technology			Odile Martin	2008-01-01	Odile Martin	2009-01-26	FR	p	canon à électrons		Odile Martin	2008-01-01	Odile Martin	2008-01-01
_375	Finance			Odile Martin	2008-01-15	Odile Martin	2008-01-15	EN-GB	p	payroll		Odile Martin	2008-01-15	Odile Martin	2008-01-15
_375	Finance			Odile Martin	2008-01-15	Odile Martin	2008-01-15	FR	p	rôle de paye		Odile Martin	2008-01-15	Odile Martin	2008-01-15
_376	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2013-01-09	EN-GB	p	relief valve		Odile Martin	2008-01-20	Odile Martin	2008-01-20
_376	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2013-01-09	EN-GB	p	safety relief valve		Odile Martin	2008-01-07	Odile Martin	2008-01-07
_376	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2013-01-09	EN-GB	p	pressure relief valve		Odile Martin	2013-01-09	Odile Martin	2013-01-09
_376	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2013-01-09	EN-GB	p	pressure relief nozzle		Odile Martin	2013-01-09	Odile Martin	2013-01-09
_376	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2013-01-09	FR	p	soupape de décharge		Odile Martin	2008-01-20	Odile Martin	2008-01-11
_376	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2013-01-09	FR	p	soupape de vidange		Odile Martin	2008-01-11	Odile Martin	2008-01-11
_377	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2009-01-26	EN-GB	p	insulation vacuum		Odile Martin	2008-01-20	Odile Martin	2008-01-20
_377	Accelerator technology			Odile Martin	2008-01-20	Odile Martin	2009-01-26	FR	p	vide d'isolation		Odile Martin	2008-01-20	Odile Martin	2008-01-20
_378	Computing			Natalie Garde	2008-01-24	Natalie Garde	2009-01-26	EN-GB	p	CPU server		Natalie Garde	2008-01-24	Natalie Garde	2008-01-24
_378	Computing			Natalie Garde	2008-01-24	Natalie Garde	2009-01-26	FR	p	serveur de calcul		Natalie Garde	2008-01-24	Natalie Garde	2008-01-24
_379	Computing			Natalie Garde	2008-01-24	Natalie Garde	2009-01-26	EN-GB	p	disk server		Natalie Garde	2008-01-24	Natalie Garde	2008-01-24
_379	Computing			Natalie Garde	2008-01-24	Natalie Garde	2009-01-26	FR	p	serveur de stockage sur disque		Natalie Garde	2008-01-24	Natalie Garde	2008-01-24
_380	Accelerator technology			Odile Martin	2008-01-28	Odile Martin	2009-01-26	EN-GB	p	spring-loaded relief disc		Odile Martin	2008-01-28	Odile Martin	2008-01-06
_380	Accelerator technology			Odile Martin	2008-01-28	Odile Martin	2009-01-26	FR	p	disque de rupture contre les surpressions		Odile Martin	2008-01-28	Odile Martin	2008-01-28
_381	Accelerator technology			Odile Martin	2008-01-28	Odile Martin	2009-01-26	EN-GB	p	vacuum barrier		Odile Martin	2008-01-28	Odile Martin	2008-01-28
_381	Accelerator technology			Odile Martin	2008-01-28	Odile Martin	2009-01-26	EN-GB	p	insulation vacuum barrier		Odile Martin	2008-01-06	Odile Martin	2008-01-07
_381	Accelerator technology			Odile Martin	2008-01-28	Odile Martin	2009-01-26	FR	p	barrière à vide		Odile Martin	2008-01-28	Odile Martin	2008-01-28
_382	Accelerator technology			Odile Martin	2008-01-28	Odile Martin	2009-01-26	EN-GB	p	jumper connection		Odile Martin	2008-01-28	Odile Martin	2008-01-28
_382	Accelerator technology			Odile Martin	2008-01-28	Odile Martin	2009-01-26	FR	p	raccord "jumper"		Odile Martin	2008-01-28	Odile Martin	2008-01-28
_383	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-07	EN-GB	p	named perils policy	Insurance on any peril except those later excluded in the policy. Encyclopædia Britannica Online. 06 Nov. 2008.	Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_383	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-07	FR	p	police aux périls dénommés		Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_384	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-07	EN-GB	p	leading underwriter		Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_384	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-07	FR	p	société gérante		Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_384	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-07	FR	p	compagnie apéritrice		Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_384	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-07	FR	p	apériteur	Premier assureur, qui établit et gère le contrat dans le cas d'une coassurance. Petit Robert 2009.	Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_385	Accelerator technology			Marion Dudan	2008-01-30	Natalie Garde	2009-01-26	EN-GB	p	enclosed volume					
_385	Accelerator technology			Marion Dudan	2008-01-30	Natalie Garde	2009-01-26	FR	p	volume intérieur					
_386	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-06	EN-GB	p	maximum possible loss		Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_386	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-06	EN-GB	p	MPL		Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_386	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-06	FR	p	sinistre maximum possible	Sinistre dont la survenance dépend de la réunion exceptionnelle d'un certain nombre de circonstances défavorables, provoquant ainsi le maximum de dommages aux biens assurés. Jacques Charbonnier, Dictionnaire de la gestion des risques et des assurances.	Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
_386	Law			Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-06	FR	p	SMP		Christophe Riondet	2008-01-30	Christophe Riondet	2008-01-30
